Iteration,Lower_Whisker,Q1,Median,Q3,Upper_Whisker,IQR
1,7347.625,11284.0,12651.5,13908.25,16254.0,2624.25
2,10657.5,13731.0,14912.5,15780.0,16253.0,2049.0
3,14482.875,15540.75,16108.0,16246.0,16253.0,705.25
4,16044.875,16166.75,16248.0,16248.0,16249.0,81.25
5,16225.5,16239.0,16248.0,16248.0,16251.0,9.0
6,16248.0,16248.0,16248.0,16248.0,16248.0,0.0
7,16248.0,16248.0,16248.0,16248.0,16248.0,0.0
8,16248.0,16248.0,16248.0,16248.0,16248.0,0.0
9,16248.0,16248.0,16248.0,16248.0,16248.0,0.0
10,16248.0,16248.0,16248.0,16248.0,16248.0,0.0
11,16248.0,16248.0,16248.0,16248.0,16248.0,0.0
12,16248.0,16248.0,16248.0,16248.0,16248.0,0.0
13,16248.0,16248.0,16248.0,16248.0,16248.0,0.0
14,16248.0,16248.0,16248.0,16248.0,16248.0,0.0
15,16248.0,16248.0,16248.0,16248.0,16248.0,0.0
16,16248.0,16248.0,16248.0,16248.0,16248.0,0.0
17,16248.0,16248.0,16248.0,16248.0,16248.0,0.0
18,16248.0,16248.0,16248.0,16248.0,16248.0,0.0
19,16248.0,16248.0,16248.0,16248.0,16248.0,0.0
20,16248.0,16248.0,16248.0,16248.0,16248.0,0.0
