Iteration,Lower_Whisker,Q1,Median,Q3,Upper_Whisker,IQR
1,3922.0,7067.5,8119.5,9164.5,12310.0,2097.0
2,5787.625,8348.5,9190.0,10055.75,12616.625,1707.25
3,7253.75,9173.75,9835.5,10453.75,12262.0,1280.0
4,8297.5,9733.75,10253.5,10691.25,12127.5,957.5
5,8553.25,9973.75,10503.5,10920.75,12323.0,947.0
6,8892.875,10155.5,10600.0,10997.25,12259.875,841.75
7,9172.0,10315.75,10700.5,11078.25,12222.0,762.5
8,9436.75,10470.25,10826.0,11159.25,12192.75,689.0
9,9490.625,10517.0,10866.5,11201.25,12006.0,684.25
10,9634.375,10580.5,10917.0,11211.25,12095.0,630.75
11,9440.125,10516.75,10883.5,11234.5,12311.125,717.75
12,9941.125,10762.75,11057.5,11310.5,12050.0,547.75
13,10076.875,10852.75,11101.0,11370.0,11993.0,517.25
14,10139.75,10863.5,11133.5,11346.0,12065.0,482.5
15,10230.0,10923.75,11171.5,11386.25,11921.0,462.5
16,10248.875,10942.25,11177.0,11404.5,12040.0,462.25
17,10289.25,10955.25,11198.5,11399.25,12022.0,444.0
18,10312.875,10977.0,11197.0,11419.75,12007.0,442.75
19,10414.25,11007.5,11185.5,11403.0,11996.25,395.5
20,10368.875,11006.75,11211.0,11432.0,11946.0,425.25
