Iteration,Lower_Whisker,Q1,Median,Q3,Upper_Whisker,IQR
1,1070.25,3869.25,4737.5,5735.25,8249.0,1866.0
2,2627.75,5048.0,5926.0,6661.5,8228.0,1613.5
3,3557.875,5775.25,6605.5,7253.5,9013.0,1478.25
4,4742.75,6422.75,7095.0,7542.75,8815.0,1120.0
5,5387.375,6810.5,7351.5,7759.25,8457.0,948.75
6,6039.625,7099.75,7554.0,7806.5,8350.0,706.75
7,6519.25,7337.5,7678.5,7883.0,8556.0,545.5
8,6864.875,7488.5,7710.5,7904.25,8439.0,415.75
9,6974.5,7528.0,7750.5,7897.0,8442.0,369.0
10,7068.375,7593.75,7801.0,7944.0,8432.0,350.25
11,7106.25,7629.0,7832.5,7977.5,8491.0,348.5
12,7358.125,7768.0,7911.0,8041.25,8451.125,273.25
13,7451.375,7812.5,7922.0,8053.25,8414.375,240.75
14,7459.875,7823.25,7938.0,8065.5,8428.875,242.25
15,7507.625,7841.75,7938.0,8064.5,8398.625,222.75
16,7493.625,7840.5,7955.0,8071.75,8418.625,231.25
17,7551.625,7861.0,7961.5,8067.25,8376.625,206.25
18,7561.25,7868.0,7958.0,8072.5,8379.25,204.5
19,7537.375,7858.75,7966.0,8073.0,8394.375,214.25
20,7606.25,7884.5,7977.5,8070.0,8348.25,185.5
