Iteration,Lower_Whisker,Q1,Median,Q3,Upper_Whisker,IQR
1,13032.625,14872.0,15697.0,16098.25,16252,1226.25
2,15082.375,15778.75,16162.5,16243.0,16254,464.25
3,15834.125,16081.25,16212.0,16246.0,16259,164.75
4,16092.0,16185.0,16236.0,16247.0,16250,62.0
5,16137.0,16203.0,16238.5,16247.0,16251,44.0
6,16144.5,16206.0,16240.0,16247.0,16252,41.0
7,16186.375,16222.75,16243.0,16247.0,16252,24.25
8,16178.875,16219.75,16241.5,16247.0,16251,27.25
9,16193.875,16225.75,16243.0,16247.0,16250,21.25
10,16202.0,16229.0,16243.0,16247.0,16249,18.0
11,16209.5,16232.0,16244.0,16247.0,16252,15.0
12,16212.0,16233.0,16243.0,16247.0,16250,14.0
13,16212.0,16233.0,16244.0,16247.0,16252,14.0
14,16217.0,16235.0,16244.0,16247.0,16249,12.0
15,16219.5,16236.0,16244.0,16247.0,16249,11.0
16,16219.5,16236.0,16244.0,16247.0,16249,11.0
17,16222.0,16237.0,16244.0,16247.0,16253,10.0
18,16224.5,16238.0,16244.0,16247.0,16251,9.0
19,16227.0,16239.0,16244.0,16247.0,16251,8.0
20,16224.5,16238.0,16243.0,16247.0,16250,9.0
