Iteration,Lower_Whisker,Q1,Median,Q3,Upper_Whisker,IQR
1,3732.0,6948.5,8028.5,9147.25,11702.0,2198.75
2,5048.375,7976.75,9036.0,9929.0,12025.0,1952.25
3,6203.375,8627.0,9506.0,10242.75,11736.0,1615.75
4,7200.75,9137.25,9782.5,10428.25,11819.0,1291.0
5,8036.5,9502.0,10021.5,10479.0,11561.0,977.0
6,8334.75,9680.25,10155.0,10577.25,11922.75,897.0
7,8602.625,9844.25,10258.5,10672.0,11913.625,827.75
8,8687.625,9934.5,10386.5,10765.75,11836.0,831.25
9,8978.125,10057.75,10436.5,10777.5,11684.0,719.75
10,9155.125,10159.75,10528.0,10829.5,11582.0,669.75
11,9317.25,10272.0,10584.0,10908.5,11645.0,636.5
12,9475.875,10347.0,10657.5,10927.75,11658.0,580.75
13,9597.25,10418.5,10709.5,10966.0,11761.0,547.5
14,9720.25,10470.25,10737.5,10970.25,11720.25,500.0
15,9749.25,10525.5,10761.5,11043.0,11663.0,517.5
16,9809.875,10555.75,10805.0,11053.0,11629.0,497.25
17,9918.625,10617.25,10839.5,11083.0,11710.0,465.75
18,9998.875,10651.0,10872.0,11085.75,11737.875,434.75
19,9911.75,10669.25,10910.0,11174.25,11668.0,505.0
20,10014.75,10708.5,10945.0,11171.0,11824.0,462.5
