Iteration,Lower_Whisker,Q1,Median,Q3,Upper_Whisker,IQR
1,16247.0,16247.0,16247.0,16247.0,16247,0.0
2,16247.0,16247.0,16247.0,16247.0,16247,0.0
3,16247.0,16247.0,16247.0,16247.0,16247,0.0
4,16247.0,16247.0,16247.0,16247.0,16247,0.0
5,16247.0,16247.0,16247.0,16247.0,16247,0.0
6,16247.0,16247.0,16247.0,16247.0,16247,0.0
7,16247.0,16247.0,16247.0,16247.0,16247,0.0
8,16247.0,16247.0,16247.0,16247.0,16247,0.0
9,16247.0,16247.0,16247.0,16247.0,16247,0.0
10,16247.0,16247.0,16247.0,16247.0,16247,0.0
11,16247.0,16247.0,16247.0,16247.0,16247,0.0
12,16247.0,16247.0,16247.0,16247.0,16247,0.0
13,16247.0,16247.0,16247.0,16247.0,16247,0.0
14,16247.0,16247.0,16247.0,16247.0,16247,0.0
15,16247.0,16247.0,16247.0,16247.0,16247,0.0
16,16247.0,16247.0,16247.0,16247.0,16247,0.0
17,16247.0,16247.0,16247.0,16247.0,16247,0.0
18,16247.0,16247.0,16247.0,16247.0,16247,0.0
19,16247.0,16247.0,16247.0,16247.0,16247,0.0
20,16247.0,16247.0,16247.0,16247.0,16247,0.0
