Iteration,Lower_Whisker,Q1,Median,Q3,Upper_Whisker,IQR
1,5100.5,7931.0,8737.0,9818.0,12048.0,1887.0
2,6900.625,9088.75,9838.5,10547.5,12509.0,1458.75
3,7716.625,9589.75,10218.0,10838.5,12711.625,1248.75
4,8446.125,9954.0,10478.5,10959.25,12467.125,1005.25
5,8789.0,10181.0,10671.0,11109.0,12218.0,928.0
6,9010.625,10367.0,10860.0,11271.25,12289.0,904.25
7,9342.25,10519.0,10944.5,11303.5,12345.0,784.5
8,9688.25,10706.75,11048.5,11385.75,12197.0,679.0
9,9863.5,10804.75,11131.0,11432.25,12296.0,627.5
10,10036.875,10906.5,11185.0,11486.25,12350.0,579.75
11,10194.5,11003.75,11294.0,11543.25,12292.0,539.5
12,10323.5,11066.75,11331.0,11562.25,12227.0,495.5
13,10362.25,11109.25,11360.0,11607.25,12166.0,498.0
14,10477.125,11166.75,11420.5,11626.5,12237.0,459.75
15,10474.0,11191.75,11458.0,11670.25,12253.0,478.5
16,10547.25,11232.0,11495.5,11688.5,12240.0,456.5
17,10591.0,11267.5,11499.0,11718.5,12281.0,451.0
18,10658.5,11296.0,11518.0,11721.0,12194.0,425.0
19,10700.5,11317.75,11549.5,11729.25,12244.0,411.5
20,10775.75,11360.0,11555.0,11749.5,12234.0,389.5
