Iteration,Lower_Whisker,Q1,Median,Q3,Upper_Whisker,IQR
1,2230.0,4986.5,6322.0,7756.0,9074.0,2769.5
2,6911.125,7473.25,7756.0,7848.0,8410.125,374.75
3,7322.5,7756.0,7767.0,8045.0,8478.5,289.0
4,7289.125,7756.0,7847.5,8067.25,8534.125,311.25
5,7210.0,7756.0,7908.0,8120.0,8666.0,364.0
6,7195.0,7756.75,7961.0,8131.25,8586.0,374.5
7,7246.125,7794.75,7979.5,8160.5,8581.0,365.75
8,7397.75,7847.75,7997.5,8147.75,8597.75,300.0
9,7387.875,7848.75,8000.0,8156.0,8616.875,307.25
10,7428.875,7868.75,8007.0,8162.0,8601.875,293.25
11,7466.375,7880.75,8020.0,8157.0,8571.375,276.25
12,7475.25,7888.5,8027.5,8164.0,8577.25,275.5
13,7494.625,7900.75,8022.5,8171.5,8577.625,270.75
14,7538.625,7917.75,8045.0,8170.5,8549.625,252.75
15,7479.5,7901.75,8038.0,8183.25,8605.5,281.5
16,7492.125,7905.0,8045.5,8180.25,8543.0,275.25
17,7550.625,7929.0,8055.5,8181.25,8526.0,252.25
18,7559.0,7934.75,8053.0,8185.25,8528.0,250.5
19,7600.25,7946.0,8061.5,8176.5,8522.25,230.5
20,7582.875,7944.75,8068.0,8186.0,8547.875,241.25
